ID,Question,Answer,Tags
1,What is Tijarah360?,Tijarah360 is a powerful POS and business management platform designed for retail and restaurant businesses in Saudi Arabia.,"introduction, platform"
2,Is Tijarah360 ZATCA compliant?,"Yes, Tijarah360 is fully compliant with ZATCA Phase 1 & Phase 2 e-invoicing regulations in Saudi Arabia.","ZATCA, compliance"
3,Can I generate QR invoices?,Absolutely. Tijarah360 allows digital QR invoices that meet local regulatory standards.,"billing, qr, e-invoice"
4,What are the subscription plans available?,"Tijarah360 offers two main plans: SAR 499 and SAR 999, with both monthly and yearly options.","pricing, plans"
5,What is included in the SAR 499 plan?,"The SAR 499 plan includes POS billing, inventory, QR ordering, and basic insights—ideal for small outlets.","pricing, features"
6,Can I use Tijarah360 for takeaway orders?,"Yes, the system supports takeaway with QR ordering, KOT printing, and customer updates via SMS or email.","takeaway, ordering"
7,Does Tijarah360 support modifiers in orders?,"Yes. You can add modifiers like ""No onions"" or ""Extra cheese"" for menu items.","restaurant, modifiers"
8,Can I split and merge tables?,Yes. Tijarah360 supports table-wise order-taking with split and merge functionality.,"table, dine-in"
9,How does Tijarah360 help with inventory?,"It tracks stock in real-time, alerts on low inventory, and manages purchase orders and GRNs.","inventory, alerts"
10,Can I manage multiple kitchens?,"Yes, Tijarah360 allows assigning items to specific kitchens with auto KOT generation.","kitchen, KOT"
11,Is there a loyalty program?,Yes. You can enable customer loyalty and points-based rewards to drive repeat business.,"loyalty, marketing"
12,Can I accept card and wallet payments?,"Yes. Tijarah360 supports multiple payment modes: cash, card, wallet, and split billing.","payments, flexibility"
13,Are reports available in the system?,"You get daily sales, item-wise, staff-wise, and profit reports. Everything is downloadable.","reports, insights"
14,Can I send invoices via email or SMS?,Yes. You can automate sending invoices and updates to customers via email or SMS.,"notifications, invoices"
15,How can I create discounts or combo offers?,"Go to Promotions > Add New. You can create percentage, flat, and combo offers easily.","promotions, marketing"
16,Is Tijarah360 cloud-based?,Yes. You can access and manage your business from any device with internet connectivity.,"cloud, mobility"
17,Can I use the system on mobile?,"Yes, Tijarah360 supports Pocket POS for billing and order-taking from mobile devices.","POS, mobile"
18,How can I add a new staff member?,Go to Staff Settings > Add User. Assign roles and access permissions from there.,"user, access"
19,What devices are compatible?,"Tijarah360 works with Imin M2 Max, barcode scanners, Android tablets, and mobile phones,Sumni V2s","devices, compatibility"
20,Can I track profits and stock value?,"Yes, you get a clear view of profit margins and current stock value in the dashboard.","reports, analytics"
21,Does Tijarah360 support cloud kitchen operations?,"Yes, it supports cloud kitchens with online order management, KOT printing, and delivery tracking."
22,How can I set up product categories?,Go to Catalog > Category Management > Add Category. You can assign products to these categories.
23,Can I customize the receipt format?,"Yes, you can include logos, business name, tax details, and custom footer messages."
24,Is there support for Arabic language?,"Yes, the entire POS system—including UI, receipts, and invoices—is bilingual: Arabic and English."
25,Does Tijarah360 offer real-time analytics?,"Yes, the dashboard provides real-time sales, inventory, and customer analytics."
26,Can I print kitchen tickets automatically?,"Yes, KOT (Kitchen Order Tickets) are generated automatically based on kitchen assignments."
27,How can I apply taxes or service charges?,Taxes and service charges can be set under Settings > Taxes & Charges.
28,What happens when stock is low?,The system alerts you with a low-stock notification and allows reordering directly.
29,Can I see which staff handled which order?,"Yes, each transaction is logged with staff details for accountability."
30,Does the system support returns and refunds?,"Yes, products can be returned or refunded directly from the billing screen."
31,How do I apply discounts at the counter?,You can apply percentage or flat discounts directly during checkout.
32,Can I restrict staff access to sensitive features?,"Yes, user roles can be customized with permission control per staff member."
33,Is it possible to set time-based offers?,"Yes, you can create limited-time promotions and happy-hour deals."
34,Can I upload bulk products via Excel?,"Yes, go to Product Import section and upload your Excel file."
35,Does the POS system work offline?,"Yes, core billing functions work offline, and sync when reconnected."
36,Can customers place orders via QR code?,"Yes, QR-based self-ordering is supported for takeaway and dine-in."
37,Does the system work for supermarkets?,"Yes, Tijarah360 is used in supermarkets with barcode scanning and inventory."
38,How can I manage raw materials in kitchen?,"Use the Recipe Module to define ingredients, quantities, and usage."
39,Is VAT automatically calculated?,"Yes, VAT is auto-calculated based on Saudi Arabia's tax regulations."
40,Does Tijarah360 support multi-branch businesses?,"Yes, you can manage multiple outlets from a centralized dashboard."
41,Can I track stock movement?,"Yes, view purchase, sales, and wastage movements in the inventory module."
42,Can I create combo meals or product bundles?,"Yes, combos can be created by grouping items into a single offering."
43,What happens if internet goes down?,The system continues offline billing and syncs when internet is restored.
44,Is Tijarah360 hardware-dependent?,"No, it runs on Android devices, laptops, tablets, and POS terminals."
45,Can I integrate my existing printer?,"Yes, most Bluetooth and network thermal printers are compatible."
46,How do I train staff quickly?,"Tijarah360 offers in-app guides, training videos, and customer support."
47,Can I run promotions for specific categories?,"Yes, category-specific promotions can be set with start/end dates."
48,Are there customer feedback options?,"Yes, you can enable post-bill SMS/Email feedback forms."
49,How are delivery charges handled?,Delivery charges can be added manually or auto-calculated.
