ID,Question,Answer,Tags
"1","ما هو Tijarah360؟","Tijarah360 هو نظام نقاط بيع وإدارة أعمال قوي مصمم لمتاجر التجزئة والمطاعم في المملكة العربية السعودية."
"2","هل Tijarah360 متوافق مع هيئة الزكاة والضريبة والجمارك (ZATCA)؟","نعم، Tijarah360 متوافق بالكامل مع مرحلتي الفوترة الإلكترونية (المرحلة الأولى والمرحلة الثانية) وفق أنظمة ZATCA في المملكة العربية السعودية."
"3","هل يمكنني إصدار فواتير QR؟","نعم، يتيح لك Tijarah360 إصدار فواتير QR رقمية مطابقة للمعايير المحلية."
"4","ما هي خطط الاشتراك المتوفرة؟","يوفر Tijarah360 خطتين رئيسيتين: 499 ريال و999 ريال، مع خيارات شهرية وسنوية."
"5","ماذا تتضمن باقة 499 ريال؟","تتضمن باقة 499 ريال: الفوترة عبر نقاط البيع، إدارة المخزون، الطلب عبر QR، والتقارير الأساسية – مثالية للفروع الصغيرة."
"6","هل يمكنني استخدام Tijarah360 لطلبات التيك أواي؟","نعم، يدعم النظام الطلبات الخارجية مع الطلب عبر QR، وطباعة أوامر المطبخ (KOT)، وتحديثات العملاء عبر الرسائل النصية أو البريد الإلكتروني."
"7","هل يدعم Tijarah360 الإضافات في الطلبات؟","نعم، يمكنك إضافة ملاحظات مثل ""بدون بصل"" أو ""إضافة جبن إضافي"" لمنتجات القائمة."
"8","هل يمكنني تقسيم أو دمج الطاولات؟","نعم، يدعم Tijarah360 أخذ الطلبات حسب الطاولات مع خاصية الدمج أو التقسيم."
"9","كيف يساعدني Tijarah360 في إدارة المخزون؟","يقوم النظام بمتابعة المخزون بشكل فوري، إرسال تنبيهات عند انخفاض الكمية، وإدارة أوامر الشراء وإيصالات الاستلام."
"10","هل يمكنني إدارة عدة مطابخ؟","نعم، يتيح لك Tijarah360 تعيين المنتجات لمطابخ محددة مع إنشاء أوامر مطبخ تلقائيًا."
"11","هل يوجد برنامج ولاء للعملاء؟","نعم، يمكنك تفعيل برنامج الولاء والنقاط لزيادة تكرار العملاء."
"12","هل يمكنني قبول المدفوعات بالبطاقات والمحافظ؟","نعم، يدعم Tijarah360 أوضاع دفع متعددة: نقدًا، بطاقة، محفظة، والدفع المقسّم."
"13","هل تتوفر تقارير في النظام؟","نعم، ستحصل على تقارير يومية للمبيعات، المنتجات، الموظفين، والأرباح قابلة للتنزيل."
"14","هل يمكنني إرسال الفواتير عبر البريد الإلكتروني أو الرسائل؟","نعم، يمكنك أتمتة إرسال الفواتير والتحديثات للعملاء عبر البريد الإلكتروني أو الرسائل النصية."
